SOLADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,0.0451000000,0.0465000000,0.0449000000,0.0457000000,8787.1300000000,1672689599999,399.2470130000,702,5239.2900000000,238.3979260000,1672675200000,0.0006644000,0.0006863000,0.0006632000,0.0006735000,46810.7500000000,1672689599999,31.3276931300,4197,22545.0200000000,15.0966819500,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,0.0091100000,0.0094100000,0.0091100000,0.0092500000,14254.9350000000,1672689599999,131.7167567900,922,9447.9220000000,87.4788162400,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,1,1,1,1,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,11.1200000000,11.4900000000,11.0800000000,11.2600000000,679438.8199999999,1672689599999,7619257.9611000000,20196,329087.7300000000,3692931.7669000002,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,
1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,0.0456000000,0.0461000000,0.0454000000,0.0460000000,9858.8000000000,1672703999999,451.7451580000,747,4317.7700000000,198.0372680000,1672689600000,0.0006733000,0.0006825000,0.0006702000,0.0006766000,58089.7000000000,1672703999999,39.2963749600,5200,29431.7800000000,19.9149411200,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,0.0092300000,0.0093600000,0.0092100000,0.0093000000,12259.2260000000,1672703999999,113.9766014800,556,6913.6700000000,64.3378175100,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,1,1,1,1,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,11.2600000000,11.4400000000,11.1900000000,11.2800000000,687641.3400000000,1672703999999,7777449.8531999998,21312,323562.0300000000,3661198.2382000000,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,
1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,0.0460000000,0.0461000000,0.0449000000,0.0457000000,8895.5100000000,1672718399999,405.2045730000,709,4583.6700000000,208.9389800000,1672704000000,0.0006767000,0.0006794000,0.0006594000,0.0006723000,64538.3000000000,1672718399999,43.2721029900,6846,35624.3900000000,23.8937104800,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,0.0092800000,0.0093200000,0.0090600000,0.0092400000,8201.8500000000,1672718399999,75.4972742100,405,4650.0800000000,42.7424713700,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,1,1,1,1,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,11.2800000000,11.3400000000,11.0000000000,11.2200000000,850728.2400000000,1672718399999,9487842.0704999994,24733,350662.9900000000,3913318.3213999998,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,
1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,0.0457000000,0.0488000000,0.0457000000,0.0485000000,22545.9800000000,1672732799999,1069.3200770000,1832,12945.2700000000,612.7205830000,1672718400000,0.0006725000,0.0007185000,0.0006715000,0.0007140000,252909.9700000000,1672732799999,177.4797967800,17452,121709.1200000000,85.4061320100,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,0.0092300000,0.0098700000,0.0092300000,0.0098200000,30155.6700000000,1672732799999,289.9422628100,1149,12226.6400000000,117.7983905300,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,1,1,1,1,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,11.2200000000,12.0500000000,11.2100000000,11.9500000000,2408167.2999999998,1672732799999,28245804.1110000014,63161,1286669.9800000000,15089103.3498999998,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,
1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,0.0485000000,0.0488000000,0.0476000000,0.0483000000,10807.9200000000,1672747199999,521.0807490000,954,5637.7400000000,272.0655320000,1672732800000,0.0007137000,0.0007177000,0.0007009000,0.0007085000,114992.6700000000,1672747199999,81.5113251300,10194,56116.5200000000,39.7746419000,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,0.0098000000,0.0098700000,0.0096400000,0.0097500000,12530.2120000000,1672747199999,122.3215140200,645,6117.6600000000,59.7950631100,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,1,1,1,1,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,11.9500000000,12.0200000000,11.7000000000,11.8400000000,1034071.3700000000,1672747199999,12271999.8337999992,28645,507371.0400000000,6025786.3750000000,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,
1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,0.0483000000,0.0541000000,0.0480000000,0.0533000000,35095.0600000000,1672761599999,1784.6458260000,2844,20014.2800000000,1020.3012030000,1672747200000,0.0007085000,0.0008000000,0.0007057000,0.0007848000,354690.6500000000,1672761599999,266.2591819100,27823,203822.9400000000,153.8557344800,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,0.0097600000,0.0109800000,0.0097100000,0.0108000000,63459.8800000000,1672761599999,656.8619036400,2954,35694.9590000000,370.1849401900,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,1,1,1,1,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,11.8400000000,13.2900000000,11.7900000000,13.0900000000,4609920.8799999999,1672761599999,57645635.3108000010,123074,2607811.4399999999,32594439.3859999999,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,
1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,0.0533000000,0.0565000000,0.0519000000,0.0527000000,31837.8800000000,1672775999999,1709.9859090000,2997,16876.6100000000,906.6630650000,1672761600000,0.0007849000,0.0008330000,0.0007645000,0.0007772000,341521.6300000000,1672775999999,270.1536573800,28526,162278.1900000000,128.4606859800,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,0.0107900000,0.0114800000,0.0105200000,0.0107000000,55532.3740000000,1672775999999,605.7752603400,3293,27082.7070000000,295.9996348600,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,1,1,1,1,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,13.0900000000,13.9100000000,12.7000000000,12.9400000000,4501379.9000000004,1672775999999,59311875.6922999993,126324,2286333.4199999999,30129547.1253999993,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,
1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,0.0528000000,0.0548000000,0.0528000000,0.0543000000,15380.4400000000,1672790399999,826.2703730000,1591,8473.0900000000,455.6067650000,1672776000000,0.0007779000,0.0008086000,0.0007778000,0.0008020000,181817.8700000000,1672790399999,144.0361308400,17086,89824.7000000000,71.1858990100,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,0.0107300000,0.0111200000,0.0107000000,0.0110200000,25845.0410000000,1672790399999,281.0007512600,1371,11223.0210000000,122.3280019900,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,1,1,1,1,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,12.9300000000,13.4900000000,12.9300000000,13.3700000000,1582223.6699999999,1672790399999,20902436.4145999998,51633,806574.0600000001,10655643.1947000008,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,
1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,0.0543000000,0.0565000000,0.0526000000,0.0528000000,29937.2400000000,1672804799999,1651.0196770000,3004,13918.5300000000,768.8884160000,1672790400000,0.0008020000,0.0008355000,0.0007941000,0.0008048000,383936.7500000000,1672804799999,314.3775355300,35422,193849.8700000000,158.7717756400,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,0.0110100000,0.0114300000,0.0108100000,0.0108500000,40933.0670000000,1672804799999,458.1126849300,2367,21607.3750000000,242.1855452400,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,1,1,1,1,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,13.3700000000,14.0500000000,13.2300000000,13.5700000000,3728337.7799999998,1672804799999,51116460.1732999980,103922,1939839.3899999999,26611189.4411000013,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,
1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,0.0529000000,0.0557000000,0.0520000000,0.0555000000,15343.3800000000,1672819199999,825.9177440000,1777,8705.5500000000,469.4253620000,1672804800000,0.0008050000,0.0008428000,0.0007890000,0.0008393000,292125.2600000000,1672819199999,238.3232013500,27307,152443.7800000000,124.3776807600,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,0.0108600000,0.0113500000,0.0106500000,0.0113200000,23704.9620000000,1672819199999,260.3625858200,1701,13328.9300000000,146.8762779600,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,1,1,1,1,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,13.5800000000,14.2400000000,13.2900000000,14.1600000000,2354917.3999999999,1672819199999,32451656.4433000013,71743,1293171.8200000001,17851574.5808000006,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,
