LTCADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,0.3042000000,0.3051000000,0.3019000000,0.3039000000,608.1040000000,1672689599999,184.5761935000,399,234.8210000000,71.2690927000,1672675200000,0.0044910000,0.0045030000,0.0044490000,0.0044780000,11126.5560000000,1672689599999,49.7376034000,3703,3950.1490000000,17.6768510200,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,0.0616400000,0.0618300000,0.0611100000,0.0615400000,1258.2290000000,1672689599999,77.2216699700,663,785.6140000000,48.2358026200,1672675200000,,,,,,1672689599999,,,,,1672675200000,1,1,1,1,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,75.1500000000,75.3500000000,74.3400000000,74.9900000000,113730.9060000000,1672689599999,8505908.7367300000,17450,54523.0780000000,4078164.9525100002,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,
1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,0.3038000000,0.3057000000,0.3029000000,0.3050000000,272.2040000000,1672703999999,82.8879677000,270,146.9800000000,44.7770573000,1672689600000,0.0044790000,0.0045120000,0.0044710000,0.0044820000,5245.4410000000,1672703999999,23.5646212500,2409,2499.4370000000,11.2280235200,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,0.0614900000,0.0622000000,0.0613800000,0.0615600000,1867.1290000000,1672703999999,115.3129164700,621,1229.1260000000,75.9657482200,1672689600000,,,,,,1672703999999,,,,,1672689600000,1,1,1,1,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,74.9700000000,75.6700000000,74.6800000000,74.7400000000,71894.6680000000,1672703999999,5400753.6851100000,13810,32805.1920000000,2464729.2988499999,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,
1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,0.3047000000,0.3084000000,0.3037000000,0.3074000000,411.5740000000,1672718399999,125.9538155000,357,211.2350000000,64.7161311000,1672704000000,0.0044840000,0.0045380000,0.0044670000,0.0045280000,6886.8270000000,1672718399999,31.0123623800,3383,3891.3250000000,17.5249053800,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,0.0615500000,0.0623200000,0.0613200000,0.0621700000,1383.7890000000,1672718399999,85.6048882300,601,747.2130000000,46.2647722500,1672704000000,,,,,,1672718399999,,,,,1672704000000,1,1,1,1,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,74.7500000000,75.7900000000,74.4400000000,75.5600000000,97520.3380000000,1672718399999,7324602.2264599996,16640,51750.7910000000,3889981.1806600001,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,
1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,0.3078000000,0.3098000000,0.3064000000,0.3087000000,1229.8520000000,1672732799999,378.5971997000,517,266.5960000000,82.2539933000,1672718400000,0.0045270000,0.0045650000,0.0045050000,0.0045410000,10931.1480000000,1672732799999,49.6161772500,4240,5818.5780000000,26.4108614800,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,0.0622100000,0.0627100000,0.0619700000,0.0624500000,1024.3090000000,1672732799999,63.8981096400,531,633.0020000000,39.5193191200,1672718400000,,,,,,1672732799999,,,,,1672718400000,1,1,1,1,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,75.5700000000,76.5200000000,75.1900000000,75.9800000000,133811.0190000000,1672732799999,10154754.7885500006,21508,66374.8360000000,5039603.5191000002,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,
1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,0.3088000000,0.3089000000,0.3061000000,0.3066000000,527.1420000000,1672747199999,162.1363284000,279,155.4620000000,47.8426260000,1672732800000,0.0045420000,0.0045590000,0.0044930000,0.0045120000,11182.9080000000,1672747199999,50.5691046700,3469,5252.8170000000,23.7731322100,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,0.0624500000,0.0625300000,0.0619400000,0.0621300000,672.5190000000,1672747199999,41.8200591500,397,225.3400000000,14.0239980300,1672732800000,,,,,,1672747199999,,,,,1672732800000,1,1,1,1,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,75.9700000000,76.1000000000,75.1800000000,75.4400000000,104218.4700000000,1672747199999,7881100.7895400003,15476,46210.9590000000,3494747.8952199998,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,
1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,0.3071000000,0.3075000000,0.2990000000,0.3041000000,2650.6610000000,1672761599999,806.8244588000,822,842.1270000000,256.7410323000,1672747200000,0.0045120000,0.0045220000,0.0044310000,0.0044770000,24044.3480000000,1672761599999,107.8476925800,6042,8106.6630000000,36.3283566600,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,0.0621100000,0.0621800000,0.0610300000,0.0616300000,3554.4230000000,1672761599999,219.1192278500,950,1762.6240000000,108.7247064600,1672747200000,,,,,,1672761599999,,,,,1672747200000,1,1,1,1,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,75.4500000000,75.7200000000,73.6200000000,74.6700000000,200948.2380000000,1672761599999,15016179.6534199994,30020,86679.2430000000,6478259.6681700004,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,
1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,0.3042000000,0.3100000000,0.3035000000,0.3064000000,778.3100000000,1672775999999,238.1624626000,574,523.1750000000,160.0233899000,1672761600000,0.0044770000,0.0045620000,0.0044670000,0.0045150000,11954.4700000000,1672775999999,53.9891782200,5258,6165.9610000000,27.8568547500,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,0.0616200000,0.0627600000,0.0614900000,0.0620900000,1469.5230000000,1672775999999,91.3239489600,973,833.4090000000,51.7957993200,1672761600000,,,,,,1672775999999,,,,,1672761600000,1,1,1,1,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,74.6800000000,75.9100000000,74.3200000000,75.1300000000,144075.3120000000,1672775999999,10826029.2903600000,24421,72432.1520000000,5444065.5284099998,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,
1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,0.3064000000,0.3085000000,0.3059000000,0.3074000000,252.2250000000,1672790399999,77.4821697000,197,191.8690000000,58.9764860000,1672776000000,0.0045140000,0.0045390000,0.0045070000,0.0045300000,5323.8570000000,1672790399999,24.0806999400,2334,2628.9310000000,11.8942929700,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,0.0621600000,0.0623900000,0.0620100000,0.0622100000,563.1430000000,1672790399999,35.0180713100,325,263.6800000000,16.4052899800,1672776000000,,,,,,1672790399999,,,,,1672776000000,1,1,1,1,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,75.1400000000,75.7100000000,75.0800000000,75.5700000000,45224.7240000000,1672790399999,3409105.8588700001,9465,21519.2400000000,1622338.8328700000,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,
1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,0.3074000000,0.3129000000,0.3003000000,0.3014000000,1536.5710000000,1672804799999,472.7899876000,1051,649.5260000000,200.0501815000,1672790400000,0.0045310000,0.0046330000,0.0045200000,0.0045960000,15939.6040000000,1672804799999,73.0900922200,7116,8414.7410000000,38.5740159500,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,0.0622000000,0.0631500000,0.0617100000,0.0619400000,2423.6740000000,1672804799999,151.3099197400,1110,979.7010000000,61.1616258900,1672790400000,,,,,,1672804799999,,,,,1672790400000,1,1,1,1,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,75.5700000000,77.9900000000,75.3300000000,77.5100000000,230334.4710000000,1672804799999,17686776.9442000017,37607,118293.9140000000,9083232.2260699999,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,
1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,0.3016000000,0.3031000000,0.2999000000,0.3004000000,1158.8220000000,1672819199999,348.1328332000,313,320.4680000000,96.4178411000,1672804800000,0.0045970000,0.0045990000,0.0045370000,0.0045450000,8243.7010000000,1672819199999,37.5763729800,3984,3757.5590000000,17.1286061800,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,0.0619400000,0.0619400000,0.0612100000,0.0612600000,857.7300000000,1672819199999,52.7519154700,506,406.9870000000,25.0460410300,1672804800000,,,,,,1672819199999,,,,,1672804800000,1,1,1,1,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,77.5100000000,77.6300000000,76.4400000000,76.6600000000,112389.9870000000,1672819199999,8637884.8609999996,17341,51555.1630000000,3962352.5622399999,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,
