DOTADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,0.0182300000,0.0183700000,0.0182200000,0.0183000000,6594.5000000000,1672689599999,120.5701678000,266,4110.0200000000,75.1775953000,1672675200000,0.0002690000,0.0002710000,0.0002685000,0.0002700000,56699.4800000000,1672689599999,15.2935171300,1377,36738.6800000000,9.9104142300,1672675200000,,,,,,1672689599999,,,,,1672675200000,1,1,1,1,,1672689599999,,,,,1672675200000,0.0036910000,0.0037220000,0.0036880000,0.0037100000,2048.1900000000,1672689599999,7.5883604400,119,809.1100000000,2.9998345700,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,4.5000000000,4.5600000000,4.4840000000,4.5170000000,413302.5300000000,1672689599999,1864966.7378700001,5874,213301.2100000000,963043.0096399999,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,
1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,0.0183100000,0.0183400000,0.0182000000,0.0183100000,6910.5200000000,1672703999999,126.1929136000,297,3287.9800000000,60.0812398000,1672689600000,0.0002700000,0.0002703000,0.0002682000,0.0002694000,29425.7800000000,1672703999999,7.9242525000,937,14789.9100000000,3.9829501500,1672689600000,,,,,,1672703999999,,,,,1672689600000,1,1,1,1,,1672703999999,,,,,1672689600000,0.0037110000,0.0037110000,0.0036900000,0.0036990000,899.5700000000,1672703999999,3.3271400000,68,398.3300000000,1.4743467700,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,4.5170000000,4.5240000000,4.4770000000,4.4920000000,211675.5700000000,1672703999999,952830.8228200000,3842,100334.9300000000,451704.9211900000,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,
1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,0.0183000000,0.0183300000,0.0182500000,0.0182700000,4134.9200000000,1672718399999,75.6101857000,177,1655.5300000000,30.2911527000,1672704000000,0.0002695000,0.0002699000,0.0002680000,0.0002692000,29757.9000000000,1672718399999,8.0098436700,998,14271.5400000000,3.8424327700,1672704000000,,,,,,1672718399999,,,,,1672704000000,1,1,1,1,,1672718399999,,,,,1672704000000,0.0036970000,0.0037060000,0.0036890000,0.0036950000,825.8800000000,1672718399999,3.0547942600,44,405.8300000000,1.5012848300,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,4.4920000000,4.5090000000,4.4620000000,4.4930000000,285105.8900000000,1672718399999,1279587.4505500000,3738,141588.7100000000,635395.3487300000,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,
1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,0.0182600000,0.0183900000,0.0182600000,0.0183300000,6397.6000000000,1672732799999,117.2551895000,237,3064.2500000000,56.1877763000,1672718400000,0.0002692000,0.0002709000,0.0002686000,0.0002696000,59686.5800000000,1672732799999,16.1003031800,1342,38295.0100000000,10.3315185800,1672718400000,,,,,,1672732799999,,,,,1672718400000,1,1,1,1,,1672732799999,,,,,1672718400000,0.0036920000,0.0037250000,0.0036740000,0.0037060000,2157.6300000000,1672732799999,7.9832334100,164,975.7800000000,3.6158690500,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,4.4930000000,4.5450000000,4.4830000000,4.5120000000,309115.1800000000,1672732799999,1394000.2342900001,4385,169513.0800000000,764560.2231800000,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,
1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,0.0183300000,0.0184700000,0.0182800000,0.0183800000,7663.9500000000,1672747199999,140.7680001000,313,4303.1200000000,79.0870609000,1672732800000,0.0002697000,0.0002711000,0.0002689000,0.0002704000,60135.9300000000,1672747199999,16.2420460100,1338,39085.8700000000,10.5577697200,1672732800000,,,,,,1672747199999,,,,,1672732800000,1,1,1,1,,1672747199999,,,,,1672732800000,0.0037070000,0.0037290000,0.0036850000,0.0037210000,2267.8800000000,1672747199999,8.4302262900,115,1024.4200000000,3.8120664800,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,4.5130000000,4.5390000000,4.4880000000,4.5210000000,271608.8900000000,1672747199999,1227162.5357800000,3927,126740.8700000000,572854.6888200000,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,
1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,0.0184100000,0.0184700000,0.0183400000,0.0183900000,4459.7400000000,1672761599999,82.1066448000,229,1930.4000000000,35.5643256000,1672747200000,0.0002705000,0.0002714000,0.0002695000,0.0002704000,57273.8100000000,1672761599999,15.4969862800,1613,29285.7400000000,7.9250869700,1672747200000,,,,,,1672761599999,,,,,1672747200000,1,1,1,1,,1672761599999,,,,,1672747200000,0.0037230000,0.0037300000,0.0037000000,0.0037220000,2346.2500000000,1672761599999,8.7270475700,98,1097.7700000000,4.0872646400,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,4.5200000000,4.5450000000,4.4880000000,4.5100000000,460669.4800000000,1672761599999,2080160.8274099999,6189,210160.8000000000,949483.9294600000,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,
1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,0.0183800000,0.0184100000,0.0182900000,0.0183900000,7369.6900000000,1672775999999,135.2000712000,295,5043.1300000000,92.5178249000,1672761600000,0.0002704000,0.0002713000,0.0002695000,0.0002710000,41498.5400000000,1672775999999,11.2213508700,1213,19866.8200000000,5.3718156800,1672761600000,,,,,,1672775999999,,,,,1672761600000,1,1,1,1,,1672775999999,,,,,1672761600000,0.0037190000,0.0037360000,0.0037120000,0.0037280000,2031.1100000000,1672775999999,7.5591820500,80,620.8000000000,2.3103315600,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,4.5100000000,4.5230000000,4.4800000000,4.5090000000,422941.8100000000,1672775999999,1904758.2311900000,5763,234309.6700000000,1055300.4681599999,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,
1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,0.0183900000,0.0184300000,0.0183300000,0.0183800000,2266.4200000000,1672790399999,41.6635554000,96,1277.8100000000,23.5042835000,1672776000000,0.0002710000,0.0002716000,0.0002704000,0.0002715000,34572.3200000000,1672790399999,9.3689094600,863,17790.4900000000,4.8216679400,1672776000000,,,,,,1672790399999,,,,,1672776000000,1,1,1,1,,1672790399999,,,,,1672776000000,0.0037310000,0.0037420000,0.0037090000,0.0037290000,5987.4300000000,1672790399999,22.2973696400,152,3850.4900000000,14.3459511800,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,4.5090000000,4.5300000000,4.5030000000,4.5260000000,214662.3700000000,1672790399999,969555.0722900000,3093,125380.5400000000,566367.9700500000,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,
1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,0.0184000000,0.0187900000,0.0180300000,0.0181800000,27980.9100000000,1672804799999,516.1479426000,1169,13561.6300000000,250.4994683000,1672790400000,0.0002715000,0.0002787000,0.0002715000,0.0002774000,141428.1700000000,1672804799999,39.0238424100,3894,70822.5700000000,19.5384932300,1672790400000,,,,,,1672804799999,,,,,1672790400000,1,1,1,1,,1672804799999,,,,,1672790400000,0.0037290000,0.0037830000,0.0037080000,0.0037470000,2047.0800000000,1672804799999,7.6820802300,258,879.9600000000,3.3122908000,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,4.5260000000,4.6890000000,4.5260000000,4.6790000000,978724.1800000001,1672804799999,4520327.9460399998,13434,529636.2400000000,2444868.6510899998,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,
1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,0.0181700000,0.0183400000,0.0181600000,0.0182700000,7086.9800000000,1672819199999,129.4011404000,397,4414.9900000000,80.6547491000,1672804800000,0.0002775000,0.0002775000,0.0002755000,0.0002763000,45091.4500000000,1672819199999,12.4637222200,1487,20905.3600000000,5.7784056600,1672804800000,,,,,,1672819199999,,,,,1672804800000,1,1,1,1,,1672819199999,,,,,1672804800000,0.0037270000,0.0037350000,0.0037210000,0.0037210000,1571.3300000000,1672819199999,5.8599522100,68,876.2500000000,3.2687393200,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,4.6790000000,4.6840000000,4.6430000000,4.6630000000,454014.8500000000,1672819199999,2115819.2674300000,5687,183241.1000000000,854196.8157900000,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,
1672819200000,,,,,,1672833599999,,,,,1672819200000,,,,,,1672833599999,,,,,1672819200000,0.0182600000,0.0182700000,0.0181700000,0.0182100000,4379.7000000000,1672833599999,79.7858246000,255,2086.2200000000,38.0208387000,1672819200000,0.0002764000,0.0002764000,0.0002749000,0.0002753000,47155.8700000000,1672833599999,12.9947089400,1320,23582.0200000000,6.4986480700,1672819200000,,,,,,1672833599999,,,,,1672819200000,1,1,1,1,,1672833599999,,,,,1672819200000,0.0037190000,0.0037440000,0.0036930000,0.0037030000,2234.1400000000,1672833599999,8.2917049100,127,908.9500000000,3.3791476700,1672819200000,,,,,,1672833599999,,,,,1672819200000,,,,,,1672833599999,,,,,1672819200000,,,,,,1672833599999,,,,,1672819200000,,,,,,1672833599999,,,,,1672819200000,,,,,,1672833599999,,,,,1672819200000,4.6620000000,4.6750000000,4.6280000000,4.6320000000,384883.1100000000,1672833599999,1787747.9588599999,5225,198071.1800000000,919802.2419700000,1672819200000,,,,,,1672833599999,,,,,1672819200000,,,,,,1672833599999,,,,
1672833600000,,,,,,1672847999999,,,,,1672833600000,,,,,,1672847999999,,,,,1672833600000,0.0181800000,0.0182200000,0.0180800000,0.0181100000,5446.2400000000,1672847999999,98.8845648000,321,2323.9400000000,42.2223944000,1672833600000,0.0002752000,0.0002765000,0.0002748000,0.0002764000,49783.9800000000,1672847999999,13.7255649100,1467,28748.7900000000,7.9276015100,1672833600000,,,,,,1672847999999,,,,,1672833600000,1,1,1,1,,1672847999999,,,,,1672833600000,0.0037000000,0.0037140000,0.0036960000,0.0037070000,1847.8700000000,1672847999999,6.8481962100,105,849.3200000000,3.1496808200,1672833600000,,,,,,1672847999999,,,,,1672833600000,,,,,,1672847999999,,,,,1672833600000,,,,,,1672847999999,,,,,1672833600000,,,,,,1672847999999,,,,,1672833600000,,,,,,1672847999999,,,,,1672833600000,4.6330000000,4.6600000000,4.6100000000,4.6570000000,454342.7400000000,1672847999999,2106735.6742900000,7349,251982.9400000000,1168836.5946700000,1672833600000,,,,,,1672847999999,,,,,1672833600000,,,,,,1672847999999,,,,
1672848000000,,,,,,1672862399999,,,,,1672848000000,,,,,,1672862399999,,,,,1672848000000,0.0181000000,0.0181800000,0.0178600000,0.0179200000,15513.4600000000,1672862399999,278.8075718000,817,6959.8300000000,125.1384188000,1672848000000,0.0002764000,0.0002766000,0.0002741000,0.0002744000,68200.2200000000,1672862399999,18.7676515900,1772,32842.7200000000,9.0378799600,1672848000000,,,,,,1672862399999,,,,,1672848000000,1,1,1,1,,1672862399999,,,,,1672848000000,0.0037070000,0.0037170000,0.0036710000,0.0036810000,1383.9900000000,1672862399999,5.1127385100,121,488.7200000000,1.8074326700,1672848000000,,,,,,1672862399999,,,,,1672848000000,,,,,,1672862399999,,,,,1672848000000,,,,,,1672862399999,,,,,1672848000000,,,,,,1672862399999,,,,,1672848000000,,,,,,1672862399999,,,,,1672848000000,4.6570000000,4.6680000000,4.6130000000,4.6190000000,553187.0900000000,1672862399999,2570144.6017300002,8346,253967.4500000000,1179966.1382899999,1672848000000,,,,,,1672862399999,,,,,1672848000000,,,,,,1672862399999,,,,
