ADAADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADABNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADABTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADADAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADADOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADALINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADALTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADASOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADATRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672675200000,1,1,1,1,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,0.0010300000,0.0010360000,0.0010300000,0.0010340000,48618.1000000000,1672689599999,50.2447512000,106,26922.5000000000,27.8334295000,1672675200000,0.0000152200,0.0000152700,0.0000152000,0.0000152700,1156600.3000000000,1672689599999,17.6219662600,1286,646378.1000000000,9.8511341800,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,0.0002090000,0.0002097000,0.0002087000,0.0002097000,210319.3000000000,1672689599999,43.9781118700,257,98767.3000000000,20.6678505200,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,,1672675200000,0.2547000000,0.2555000000,0.2541000000,0.2553000000,7453730.4000000004,1672689599999,1898753.6566600001,4445,3803696.6000000001,969115.4407200000,1672675200000,,,,,,1672689599999,,,,,1672675200000,,,,,,1672689599999,,,,
1672689600000,1,1,1,1,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,0.0010350000,0.0010360000,0.0010290000,0.0010320000,144033.5000000000,1672703999999,148.7880328000,207,63900.9000000000,66.0341470000,1672689600000,0.0000152600,0.0000152900,0.0000151700,0.0000152100,1186915.0000000000,1672703999999,18.0819007800,1511,455053.4000000000,6.9308849700,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,0.0002095000,0.0002101000,0.0002087000,0.0002090000,167158.8000000000,1672703999999,34.9759023400,303,90595.0000000000,18.9576165400,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,,1672689600000,0.2553000000,0.2565000000,0.2530000000,0.2538000000,10817533.3000000007,1672703999999,2753662.1314900001,6140,5190118.5000000000,1321518.3309700000,1672689600000,,,,,,1672703999999,,,,,1672689600000,,,,,,1672703999999,,,,
1672704000000,1,1,1,1,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,0.0010350000,0.0010360000,0.0010270000,0.0010290000,114361.7000000000,1672718399999,117.9176743000,147,22273.6000000000,22.9779847000,1672704000000,0.0000152200,0.0000152400,0.0000151200,0.0000151700,856708.1000000000,1672718399999,12.9928085400,1113,379820.0000000000,5.7621292000,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,0.0002089000,0.0002091000,0.0002079000,0.0002083000,111544.2000000000,1672718399999,23.2483975200,210,40515.6000000000,8.4467934800,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,,1672704000000,0.2538000000,0.2544000000,0.2519000000,0.2532000000,10959685.0999999996,1672718399999,2771098.7062300001,4906,5308913.4000000004,1342594.4027499999,1672704000000,,,,,,1672718399999,,,,,1672704000000,,,,,,1672718399999,,,,
1672718400000,1,1,1,1,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,0.0010300000,0.0010330000,0.0010280000,0.0010290000,39467.9000000000,1672732799999,40.6770728000,81,22567.2000000000,23.2681417000,1672718400000,0.0000151600,0.0000152200,0.0000151300,0.0000151500,590145.2000000000,1672732799999,8.9534160100,928,322620.2000000000,4.8957888000,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,0.0002082000,0.0002091000,0.0002080000,0.0002082000,101990.7000000000,1672732799999,21.2756686300,196,53930.3000000000,11.2538811200,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,,1672718400000,0.2532000000,0.2550000000,0.2524000000,0.2534000000,10158673.0999999996,1672732799999,2575423.5951999999,4842,4167806.8999999999,1056921.9440500000,1672718400000,,,,,,1672732799999,,,,,1672718400000,,,,,,1672732799999,,,,
1672732800000,1,1,1,1,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,0.0010290000,0.0010380000,0.0010260000,0.0010320000,49783.5000000000,1672747199999,51.3755037000,140,32598.0000000000,33.6504036000,1672732800000,0.0000151400,0.0000152200,0.0000150900,0.0000151800,943977.3000000000,1672747199999,14.3141598300,1250,511162.0000000000,7.7541009800,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,0.0002083000,0.0002092000,0.0002076000,0.0002089000,142424.3000000000,1672747199999,29.7011535100,222,80649.5000000000,16.8225888900,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,,1672732800000,0.2534000000,0.2551000000,0.2520000000,0.2537000000,11552528.4000000004,1672747199999,2930193.5225700000,5619,6349824.5000000000,1610993.2621700000,1672732800000,,,,,,1672747199999,,,,,1672732800000,,,,,,1672747199999,,,,
1672747200000,1,1,1,1,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,0.0010340000,0.0010380000,0.0010320000,0.0010340000,40751.6000000000,1672761599999,42.1567471000,118,15984.5000000000,16.5469051000,1672747200000,0.0000151900,0.0000152500,0.0000151500,0.0000152100,1122751.7000000000,1672761599999,17.0733447300,1398,491229.6000000000,7.4682943500,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,0.0002090000,0.0002099000,0.0002083000,0.0002095000,171341.8000000000,1672761599999,35.8468481000,298,72992.2000000000,15.2781970600,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,,1672747200000,0.2538000000,0.2555000000,0.2523000000,0.2536000000,12702649.1999999993,1672761599999,3225145.4479800002,7428,6615435.5000000000,1679903.8934299999,1672747200000,,,,,,1672761599999,,,,,1672747200000,,,,,,1672761599999,,,,
1672761600000,1,1,1,1,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,0.0010330000,0.0010330000,0.0010200000,0.0010230000,76177.2000000000,1672775999999,78.1542618000,216,36249.4000000000,37.1627149000,1672761600000,0.0000152200,0.0000152300,0.0000150500,0.0000150700,1342095.0000000000,1672775999999,20.3051101700,1717,680635.0000000000,10.3068300400,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,0.0002095000,0.0002095000,0.0002071000,0.0002073000,186337.1000000000,1672775999999,38.7753157100,307,113687.6000000000,23.6733857500,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,,1672761600000,0.2537000000,0.2541000000,0.2502000000,0.2507000000,17690908.6999999993,1672775999999,4450180.3461699998,8523,7978567.4000000004,2006996.7497900000,1672761600000,,,,,,1672775999999,,,,,1672761600000,,,,,,1672775999999,,,,
1672776000000,1,1,1,1,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,0.0010220000,0.0010280000,0.0010200000,0.0010280000,137588.4000000000,1672790399999,140.9131517000,125,22692.7000000000,23.2793911000,1672776000000,0.0000150700,0.0000151700,0.0000150500,0.0000151600,591015.1000000000,1672790399999,8.9235875000,959,320012.8000000000,4.8345576800,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,0.0002073000,0.0002082000,0.0002071000,0.0002081000,225793.2000000000,1672790399999,46.8500235400,206,165923.7000000000,34.4297274900,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,,1672776000000,0.2507000000,0.2531000000,0.2506000000,0.2529000000,8606612.5999999996,1672790399999,2166046.7021300001,4349,4500470.2000000002,1132803.7543700000,1672776000000,,,,,,1672790399999,,,,,1672776000000,,,,,,1672790399999,,,,
1672790400000,1,1,1,1,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,0.0010280000,0.0010420000,0.0010190000,0.0010290000,329172.8000000000,1672804799999,339.2261949000,637,172122.5000000000,177.5751502000,1672790400000,0.0000151700,0.0000158100,0.0000151200,0.0000157000,3964149.6000000001,1672804799999,61.1762818000,5723,2294938.2999999998,35.3713856800,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,0.0002082000,0.0002130000,0.0002071000,0.0002116000,484351.1000000000,1672804799999,101.4845373200,1215,245771.8000000000,51.5959652800,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,,1672790400000,0.2529000000,0.2657000000,0.2518000000,0.2647000000,41293442.7999999970,1672804799999,10718743.5570100006,21410,21578364.8000000007,5607597.5626900000,1672790400000,,,,,,1672804799999,,,,,1672790400000,,,,,,1672804799999,,,,
1672804800000,1,1,1,1,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,0.0010310000,0.0010410000,0.0010270000,0.0010410000,84583.2000000000,1672819199999,87.6482557000,181,58674.0000000000,60.8456977000,1672804800000,0.0000157000,0.0000157600,0.0000155700,0.0000157500,1988560.8999999999,1672819199999,31.1854129400,2723,1083793.7000000000,17.0001964900,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,0.0002116000,0.0002122000,0.0002102000,0.0002121000,226111.9000000000,1672819199999,47.7898453800,455,114929.5000000000,24.3151272700,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,,1672804800000,0.2647000000,0.2660000000,0.2624000000,0.2656000000,22222060.1000000015,1672819199999,5871731.3232300002,10937,11178676.6999999993,2955642.4503500001,1672804800000,,,,,,1672819199999,,,,,1672804800000,,,,,,1672819199999,,,,
